Rank,Previous,School,Conference,WAB,Record (wins),Record (loss),Road (wins),Road (loss),Neutral (wins),Neutral (loss),Quad 1 (wins),Quad 1 (loss),Quad 2 (wins),Quad 2 (loss),Quad 3 (wins),Quad 3 (loss),Quad 4 (wins),Quad 4 (loss)
123,123,South Alabama,Sun Belt,130,19,11,8,6,0,1,0,1,1,4,5,1,13,5
124,124,George Washington,Atlantic 10,134,20,12,5,6,3,2,0,1,2,5,5,5,13,1
125,125,California,ACC,162,14,19,2,11,1,2,1,8,1,7,4,3,8,1
126,126,Louisiana Tech,CUSA,135,17,12,5,7,4,1,0,2,2,1,8,8,7,1
127,127,Furman,SoCon,94,22,9,9,5,3,1,0,1,3,1,7,6,12,1
128,128,Kent St.,MAC,120,20,11,8,5,3,2,0,2,0,2,5,5,15,2
129,129,Belmont,MVC,117,21,11,9,4,2,2,0,1,2,4,9,5,10,1
130,130,South Dakota St.,Summit League,131,17,12,4,8,3,3,0,2,1,3,5,4,11,3
131,131,Wofford,SoCon,187,17,15,8,8,4,1,0,1,2,4,6,9,9,1
132,132,NC State,ACC,175,12,19,0,11,0,2,0,8,2,8,2,3,8,0
133,133,Syracuse,ACC,148,14,19,2,9,1,4,0,10,2,6,6,3,6,0
134,134,Wichita St.,The American,145,18,14,5,6,3,2,0,4,4,2,8,3,6,5
135,135,Milwaukee,Horizon,140,19,11,7,8,1,0,0,1,1,1,6,7,12,2
136,136,North Dakota St.,Summit League,136,18,11,8,6,2,1,1,0,2,2,3,6,12,3
137,137,Kennesaw St.,CUSA,158,16,14,5,8,2,3,1,1,2,4,8,8,5,1
138,138,UNC Greensboro,SoCon,147,17,12,8,6,1,3,0,2,3,1,4,6,10,3
139,139,Robert Morris,Horizon,95,25,8,8,6,2,0,0,1,2,0,9,4,14,3
140,140,UC Santa Barbara,Big West,150,19,13,7,7,2,1,0,3,0,3,5,5,14,2
141,141,Bryant,America East,139,21,11,10,7,1,1,0,1,0,3,3,2,18,5
142,142,UC Riverside,Big West,96,19,12,7,10,0,1,1,5,3,1,5,4,10,2
143,143,Montana,Big Sky,79,22,9,7,8,3,0,0,4,1,2,4,3,17,0
144,144,New Mexico St.,CUSA,173,14,15,8,6,0,3,1,3,3,2,4,7,6,3
145,145,Tulane,The American,174,17,14,4,7,1,4,0,3,0,5,5,4,12,2
146,146,Murray St.,MVC,210,15,17,6,8,3,4,1,1,2,6,5,7,7,3
147,147,Miami (OH),MAC,101,23,9,6,7,4,1,0,2,1,2,5,2,17,3
148,148,ETSU,SoCon,182,17,13,6,9,0,1,0,0,2,3,3,7,12,3
149,149,Duquesne,Atlantic 10,257,12,19,2,8,2,4,0,1,3,7,6,6,3,5
150,150,Col. of Charleston,CAA,109,23,9,7,5,4,2,0,0,1,3,9,5,13,1
151,151,Towson,CAA,124,21,11,9,5,1,5,0,1,1,2,8,6,12,2
152,152,Rhode Island,Atlantic 10,156,17,13,1,9,3,1,0,1,2,5,5,6,10,1
153,153,Davidson,Atlantic 10,184,16,16,4,7,2,3,0,5,1,2,4,9,11,0
154,154,UIC,MVC,166,15,14,7,6,1,3,0,2,4,2,4,7,7,3
155,155,Seattle U,WAC,241,12,18,4,11,1,2,1,1,1,3,0,11,10,3
156,156,Purdue Fort Wayne,Horizon,168,17,13,6,10,1,1,0,3,1,0,4,7,12,3
157,157,UTEP,CUSA,177,15,15,4,8,3,2,1,1,1,6,7,8,6,0
158,158,James Madison,Sun Belt,146,18,12,5,8,2,2,0,2,0,3,6,6,12,1
159,159,Western Ky.,CUSA,172,15,15,4,9,0,1,1,2,0,5,9,5,5,3
160,160,Omaha,Summit League,138,20,12,7,9,4,1,0,1,0,6,6,1,14,4
161,161,Radford,Big South,144,18,13,7,9,3,1,0,4,0,3,3,3,15,3
162,162,LMU (CA),WCC,133,16,15,3,8,3,1,0,7,1,4,7,1,8,3
163,163,Winthrop,Big South,125,20,11,5,8,2,1,0,2,0,3,4,4,16,2
164,164,Temple,The American,191,16,15,3,9,2,4,0,2,2,3,5,7,9,3
165,165,A&M-Corpus Christi,Southland,169,16,14,4,11,1,1,0,4,0,1,1,4,15,5
166,166,Princeton,Ivy League,128,17,11,7,4,3,3,0,1,2,4,5,4,10,2
167,167,Virginia Tech,ACC,185,13,19,5,5,0,5,0,5,4,10,3,3,6,1
168,168,Central Conn. St.,NEC,100,23,7,12,3,0,1,0,0,1,1,1,1,21,5
169,169,Lamar University,Southland,149,17,13,9,6,1,3,0,3,0,3,4,2,13,5
170,170,App State,Sun Belt,188,15,14,5,8,2,2,0,2,0,3,4,3,11,6
171,171,Nicholls,Southland,151,17,13,8,8,1,1,0,4,1,0,2,7,14,2
172,172,California Baptist,WAC,194,17,15,4,8,2,2,0,3,0,5,4,5,13,2
173,173,FGCU,ASUN,186,17,14,7,9,0,0,0,1,1,4,2,5,14,4
174,174,Cleveland St.,Horizon,154,18,12,7,7,0,1,0,2,0,2,6,6,12,2
175,175,San Jose St.,Mountain West,200,13,19,3,9,4,2,0,7,1,6,5,4,7,2
176,176,East Carolina,The American,180,17,14,4,6,3,2,0,1,2,3,4,8,11,2
177,177,Marshall,Sun Belt,176,18,13,5,9,1,1,0,1,0,3,3,5,15,4
178,178,Sam Houston,CUSA,238,10,19,3,13,1,2,0,4,0,6,6,8,4,1
179,179,Ohio,MAC,234,15,16,3,10,1,3,0,1,0,3,5,6,10,6
180,180,Cal Poly,Big West,225,15,19,5,13,2,1,0,5,1,5,3,8,11,1
181,182,Jacksonville,ASUN,152,17,13,7,9,1,1,0,3,0,4,5,2,12,4
182,181,Merrimack,MAAC,196,18,15,9,8,1,2,0,2,1,3,0,1,17,9
183,183,Norfolk St.,MEAC,115,21,10,8,9,5,0,0,2,1,2,4,3,16,3
